"","Max_false_positive_TPM_value","Mapping_strategy"
"1",88550.6521754176,"Bowtie"
"2",19178.0084017284,"Bowtie"
"3",24352.8458416289,"Bowtie"
"4",6637.16836499109,"Bowtie"
"5",5041.95907376949,"Bowtie"
"6",1278.32913157191,"Bowtie"
"7",1621.67334213614,"Bowtie"
"8",49908.4117523125,"Bowtie"
"9",5923.1981653069,"Bowtie"
"10",12128.2780841882,"Bowtie"
"11",29690.307790642,"Bowtie"
"12",10573.2857403857,"Bowtie"
"13",43872.283249702,"Bowtie"
"14",15838.641103302,"Bowtie"
"15",6704.0502672077,"Bowtie"
"16",13858.3140418589,"Bowtie"
"17",100893.489878952,"Bowtie"
"18",37409.4539349778,"Bowtie"
"19",74856.6309090948,"Bowtie"
"20",26118.827533785,"Bowtie"
"21",47226.0213592053,"Bowtie"
"22",5053.6115587286,"Bowtie"
"23",10070.9861089668,"Bowtie"
"24",12470.3156810175,"Bowtie"
"25",7478.01961996198,"Bowtie"
"26",20365.6803080275,"Bowtie"
"27",32151.0064022308,"Bowtie"
"28",12520.5551544974,"Bowtie"
"29",17436.6144602142,"Bowtie"
"30",12158.9131465941,"Bowtie"
"31",16954.6041422961,"Bowtie"
"32",31149.1885621002,"Bowtie"
"33",79562.1969739787,"Bowtie"
"34",7109.74135622787,"Bowtie"
"35",17383.0177255157,"Bowtie"
"36",41600.097870527,"Bowtie"
"37",6985.13566276232,"Bowtie"
"38",15665.5450336305,"Bowtie"
"39",6652.5113827039,"Bowtie"
"40",6200.03627961691,"Bowtie"
"41",3902.26122500715,"Bowtie"
"42",20887.4725620506,"Bowtie"
"43",4506.6560676922,"Bowtie"
"44",2563.05076083459,"Bowtie"
"45",2582.21566338812,"Bowtie"
"46",2901.52466751808,"Bowtie"
"47",10090.0814520303,"Bowtie"
"48",29979.9607588552,"Bowtie"
"49",3805.93552152871,"Bowtie"
"50",12572.3528284511,"Bowtie"
"51",17318.5469371002,"Bowtie"
"52",25183.5479006328,"Bowtie"
"53",11693.7583403313,"Bowtie"
"54",10313.6331872605,"Bowtie"
"55",10576.4423157943,"Bowtie"
"56",3454.44095304727,"Bowtie"
"57",3110.04993356739,"Bowtie"
"58",8386.32267575031,"Bowtie"
"59",8312.07915497173,"Bowtie"
"60",7801.12533977788,"Bowtie"
"61",6486.69527999121,"Bowtie"
"62",5367.79290630822,"Bowtie"
"63",33395.1778096603,"Bowtie"
"64",26010.2726974221,"Bowtie"
"65",9641.22,"Kallisto"
"66",2094.45,"Kallisto"
"67",1292.22,"Kallisto"
"68",3379.53,"Kallisto"
"69",2098.13,"Kallisto"
"70",116.342,"Kallisto"
"71",332.726,"Kallisto"
"72",5926.94,"Kallisto"
"73",102.429,"Kallisto"
"74",1670.7,"Kallisto"
"75",6061.49,"Kallisto"
"76",726.024,"Kallisto"
"77",5546.03,"Kallisto"
"78",3569.74,"Kallisto"
"79",487.824,"Kallisto"
"80",1764.14,"Kallisto"
"81",6833.05,"Kallisto"
"82",4155.89,"Kallisto"
"83",9139.94,"Kallisto"
"84",4593.92,"Kallisto"
"85",5208.86,"Kallisto"
"86",3912.49,"Kallisto"
"87",5093.91,"Kallisto"
"88",2294.57,"Kallisto"
"89",8325.11,"Kallisto"
"90",11236.5,"Kallisto"
"91",4161.67,"Kallisto"
"92",2520.95,"Kallisto"
"93",4651.28,"Kallisto"
"94",3189.43,"Kallisto"
"95",4855.21,"Kallisto"
"96",8040.15,"Kallisto"
"97",2773.27,"Kallisto"
"98",1442.13,"Kallisto"
"99",995.966,"Kallisto"
"100",1897.73,"Kallisto"
"101",673.222,"Kallisto"
"102",625.815,"Kallisto"
"103",718.067,"Kallisto"
"104",1007.26,"Kallisto"
"105",591.908,"Kallisto"
"106",3844.69,"Kallisto"
"107",1758.6,"Kallisto"
"108",2384.79,"Kallisto"
"109",336.929,"Kallisto"
"110",105.745,"Kallisto"
"111",1120.98,"Kallisto"
"112",8327.64,"Kallisto"
"113",2796.03,"Kallisto"
"114",476.658,"Kallisto"
"115",1668.24,"Kallisto"
"116",253.388,"Kallisto"
"117",236.363,"Kallisto"
"118",1257.17,"Kallisto"
"119",410.252,"Kallisto"
"120",247.058,"Kallisto"
"121",114.66,"Kallisto"
"122",359.216,"Kallisto"
"123",840.546,"Kallisto"
"124",1448.41,"Kallisto"
"125",1364.72,"Kallisto"
"126",1835.71,"Kallisto"
"127",2070.06,"Kallisto"
"128",3048.28,"Kallisto"
