"","Min_false_positive_TPM_value","Mapping_strategy"
"1",83.0947706640497,"Bowtie"
"2",116.831189995864,"Bowtie"
"3",69.6636220322121,"Bowtie"
"4",82.2235568897565,"Bowtie"
"5",84.2686903317241,"Bowtie"
"6",132.192732451346,"Bowtie"
"7",123.100245470596,"Bowtie"
"8",76.6195185123047,"Bowtie"
"9",104.801787688671,"Bowtie"
"10",86.1867875444729,"Bowtie"
"11",70.2355714255694,"Bowtie"
"12",98.6911165235458,"Bowtie"
"13",94.0816701535731,"Bowtie"
"14",79.1455048549543,"Bowtie"
"15",114.529473868808,"Bowtie"
"16",90.9021762086784,"Bowtie"
"17",69.5838374622179,"Bowtie"
"18",116.827380025561,"Bowtie"
"19",73.004152763517,"Bowtie"
"20",107.584884017081,"Bowtie"
"21",104.681435604458,"Bowtie"
"22",78.4643952431249,"Bowtie"
"23",100.390084970942,"Bowtie"
"24",77.1560914580963,"Bowtie"
"25",105.286715706451,"Bowtie"
"26",92.982590704974,"Bowtie"
"27",87.4626786645181,"Bowtie"
"28",97.8913842980561,"Bowtie"
"29",88.1497844870758,"Bowtie"
"30",86.4331672538683,"Bowtie"
"31",95.9527129454826,"Bowtie"
"32",83.0829971484868,"Bowtie"
"33",98.0470526626088,"Bowtie"
"34",106.968316538998,"Bowtie"
"35",90.9489588776881,"Bowtie"
"36",87.9780811008453,"Bowtie"
"37",93.3220104144696,"Bowtie"
"38",111.739329330275,"Bowtie"
"39",68.7247559829328,"Bowtie"
"40",115.865497070936,"Bowtie"
"41",99.3237021888024,"Bowtie"
"42",79.3952831781971,"Bowtie"
"43",109.361115475869,"Bowtie"
"44",109.492936830741,"Bowtie"
"45",107.061556065735,"Bowtie"
"46",551.731449232388,"Bowtie"
"47",88.0376064648147,"Bowtie"
"48",3842.70975359578,"Bowtie"
"49",107.271883197904,"Bowtie"
"50",149.01877021342,"Bowtie"
"51",112.434656553375,"Bowtie"
"52",112.901281651771,"Bowtie"
"53",119.718668963123,"Bowtie"
"54",586.593661417452,"Bowtie"
"55",128.526596622519,"Bowtie"
"56",154.391493786246,"Bowtie"
"57",152.04468217175,"Bowtie"
"58",81.3522769073439,"Bowtie"
"59",90.1471364565121,"Bowtie"
"60",84.3750377774733,"Bowtie"
"61",93.6732955281399,"Bowtie"
"62",96.3799993002892,"Bowtie"
"63",89.8446116705255,"Bowtie"
"64",119.892002932615,"Bowtie"
"65",2.66079e-08,"Kallisto"
"66",3.81729e-07,"Kallisto"
"67",1.69148e-07,"Kallisto"
"68",2.21602e-06,"Kallisto"
"69",6.27798e-10,"Kallisto"
"70",1.59842e-08,"Kallisto"
"71",0.000362515,"Kallisto"
"72",8.85127e-07,"Kallisto"
"73",0.000673007,"Kallisto"
"74",3.50934e-10,"Kallisto"
"75",4.73445e-06,"Kallisto"
"76",7.79814e-09,"Kallisto"
"77",6.48811e-09,"Kallisto"
"78",2.19949e-09,"Kallisto"
"79",3.37891e-06,"Kallisto"
"80",3.23648e-08,"Kallisto"
"81",7.22883e-06,"Kallisto"
"82",0.000892734,"Kallisto"
"83",6.4771e-10,"Kallisto"
"84",1.52268e-07,"Kallisto"
"85",1.95904e-08,"Kallisto"
"86",1.37324e-06,"Kallisto"
"87",5.40578e-06,"Kallisto"
"88",9.79884e-08,"Kallisto"
"89",6.87994e-06,"Kallisto"
"90",0.000676912,"Kallisto"
"91",2.70894e-10,"Kallisto"
"92",8.63126e-08,"Kallisto"
"93",1.22815e-09,"Kallisto"
"94",3.49028e-07,"Kallisto"
"95",4.8903e-05,"Kallisto"
"96",7.04506e-06,"Kallisto"
"97",1.84158e-08,"Kallisto"
"98",2.37733e-09,"Kallisto"
"99",5.15055e-08,"Kallisto"
"100",1.23571e-05,"Kallisto"
"101",2.6125e-09,"Kallisto"
"102",7.29172e-09,"Kallisto"
"103",8.62022e-10,"Kallisto"
"104",1.232e-09,"Kallisto"
"105",5.35824e-05,"Kallisto"
"106",3.46311e-09,"Kallisto"
"107",4.89498e-09,"Kallisto"
"108",1.01442e-05,"Kallisto"
"109",0.000819953,"Kallisto"
"110",9.42459e-09,"Kallisto"
"111",4.22607e-08,"Kallisto"
"112",5.14143e-08,"Kallisto"
"113",8.29499e-06,"Kallisto"
"114",1.56452e-09,"Kallisto"
"115",4.31441e-07,"Kallisto"
"116",1.5026e-09,"Kallisto"
"117",6.79564e-10,"Kallisto"
"118",2.49541e-05,"Kallisto"
"119",9.31596e-08,"Kallisto"
"120",2.3151e-07,"Kallisto"
"121",4.31026e-06,"Kallisto"
"122",4.88739e-07,"Kallisto"
"123",4.19602e-07,"Kallisto"
"124",4.21004e-09,"Kallisto"
"125",9.58532e-09,"Kallisto"
"126",3.40984e-09,"Kallisto"
"127",2.37622e-08,"Kallisto"
"128",3.84766e-06,"Kallisto"
